,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.005,1,"[1, 1, 1]","[0, 0, 0]",30.0,3.9434285584127,9,1,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,18.45,MB,73.78,MB,0.2,4,      0.37s ,0.37,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.71e-08,2.6332,-1023.292255082,1.224512255277e-06,0.0,-543.8809272781,270.10695796904,-157.6000379638,-591.9182478091,4,0.0,Ca1_0
1,0.005,4,"[2, 2, 2]","[0, 0, 0]",30.0,3.9434285584127,9,6,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,18.61,MB,74.45,MB,0.2,5,      0.47s ,0.47,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.8e-08,4.4796,-1017.9140252808,1.224512255277e-06,0.0040968098354051,-545.48001048519,278.20902752531,-158.72889145775,-591.9182478091,5,0.0,Ca1_1
2,0.005,8,"[3, 3, 3]","[0, 0, 0]",30.0,3.9434285584127,9,10,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,18.72,MB,74.9,MB,0.2,4,      0.51s ,0.51,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.13e-08,4.9258,-1018.257117424,2.449024510554e-06,0.0,-541.82175536019,273.70198309077,-158.21909748153,-591.9182478091,4,0.0,Ca1_2
3,0.005,12,"[4, 4, 4]","[0, 0, 0]",30.0,3.9434285584127,9,24,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,19.11,MB,76.46,MB,0.2,4,      0.80s ,0.8,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.36e-07,4.9469,-1018.3607918425,7.074959697156e-06,-0.0021392229099689,-541.55436963962,273.25362207805,-158.13965724897,-591.9182478091,4,0.0,Ca1_3
4,0.005,16,"[5, 5, 5]","[0, 0, 0]",30.0,3.9434285584127,9,39,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,19.53,MB,78.13,MB,0.2,4,      1.12s ,1.12,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.14e-07,4.7309,-1018.2906419845,1.36056917253e-06,0.00086940370124667,-542.19879043883,274.07494285657,-158.24941586074,-591.9182478091,4,0.0,Ca1_4
5,0.005,20,"[6, 6, 6]","[0, 0, 0]",30.0,3.9434285584127,9,68,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,20.34,MB,81.36,MB,0.3,4,      1.71s ,1.71,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.02e-07,4.8007,-1018.2666348775,3.265366014072e-06,-0.0028882162394467,-541.89705497259,273.78244960065,-158.23089334414,-591.9182478091,4,0.0,Ca1_5
6,0.005,24,"[7, 7, 7]","[0, 0, 0]",30.0,3.9434285584127,9,100,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,21.23,MB,84.93,MB,0.3,4,      2.41s ,2.41,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.75e-08,4.7419,-1018.3022933546,1.768739924289e-06,0.0011872326599497,-541.72436990053,273.51377310811,-158.17463612183,-591.9182478091,4,0.0,Ca1_6
7,0.005,28,"[8, 8, 8]","[0, 0, 0]",30.0,3.9434285584127,9,150,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,22.63,MB,90.51,MB,0.4,4,      3.45s ,3.45,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.16e-08,4.6878,-1018.2940979662,1.496626089783e-06,0.00018803065964365,-541.97383229916,273.81022861356,-158.21243450218,-591.9182478091,4,0.0,Ca1_7
8,0.005,32,"[9, 9, 9]","[0, 0, 0]",30.0,3.9434285584127,9,205,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,24.16,MB,96.64,MB,0.4,4,      4.73s ,4.73,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.27e-08,4.7353,-1018.2926270549,1.496626089783e-06,0.00054245892908771,-541.80692461198,273.62040132233,-158.18839855112,-591.9182478091,4,0.0,Ca1_8
9,0.005,36,"[10, 10, 10]","[0, 0, 0]",30.0,3.9434285584127,9,282,"[40, 40, 40]","[25, 25, 25]",1,1,43.360965049545,26.31,MB,105.23,MB,0.5,4,      6.30s ,6.3,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.74e-08,4.7762,-1018.2973704072,1.632683007036e-06,-0.00032626448757269,-541.80069388546,273.61307016746,-158.19117261561,-591.9182478091,4,0.0,Ca1_9
