,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.015,1,"[1, 1, 1]","[0, 0, 0]",40.0,2.9688958110733,18,1,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,17.01,MB,68.03,MB,0.2,12,      0.50s ,0.5,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.59e-08,17.7675,-4779.0829193666,1.768739924289e-06,0.0,-1807.110433911,1092.1383157793,-604.539648828,-3459.571152679,12,0.0,Cr2_0
1,0.015,3,"[2, 2, 2]","[0, 0, 0]",40.0,2.9688958110733,18,8,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,17.4,MB,69.61,MB,0.2,10,      0.94s ,0.94,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.1e-08,17.1611,-4770.6373784765,1.1292724131999e-05,0.050252214216644,-1793.9714940119,1086.7976036731,-603.94258780899,-3459.571152679,10,0.0,Cr2_1
2,0.015,6,"[3, 3, 3]","[0, 0, 0]",40.0,2.9688958110733,18,14,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,17.73,MB,70.92,MB,0.2,8,      1.07s ,1.07,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1e-08,16.4563,-4772.1340641592,6.530732028144e-06,-0.01304255214479,-1776.7723390983,1065.1013817869,-600.87891175272,-3459.571152679,8,0.0,Cr2_2
3,0.015,9,"[4, 4, 4]","[0, 0, 0]",40.0,2.9688958110733,18,36,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,18.85,MB,75.39,MB,0.2,10,      2.82s ,2.82,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.48e-08,16.5666,-4772.2404491037,8.16341503518e-06,0.01685976501524,-1779.7479844243,1068.4194048212,-601.35757658656,-3459.571152679,10,0.0,Cr2_3
4,0.015,12,"[5, 5, 5]","[0, 0, 0]",40.0,2.9688958110733,18,63,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,20.26,MB,81.04,MB,0.3,9,      4.42s ,4.42,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.75e-08,16.7278,-4772.156134632,1.632683007036e-06,-0.02181019594949,-1776.7287611562,1065.0555433951,-600.88995413212,-3459.571152679,9,0.0,Cr2_4
5,0.015,15,"[6, 6, 6]","[0, 0, 0]",40.0,2.9688958110733,18,112,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,22.77,MB,91.09,MB,0.4,9,      7.23s ,7.23,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.26e-09,16.5863,-4772.1961052971,4.08170751759e-06,0.01113517022182,-1777.8885201149,1066.3177143003,-601.06528197374,-3459.571152679,9,0.0,Cr2_5
6,0.015,18,"[7, 7, 7]","[0, 0, 0]",40.0,2.9688958110733,18,172,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,25.89,MB,103.55,MB,0.5,10,     11.68s ,11.68,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.16e-09,16.7312,-4772.1637414382,1.36056917253e-06,-0.016034443755183,-1778.0070701805,1066.5228482668,-601.09233253792,-3459.571152679,10,0.0,Cr2_6
7,0.015,21,"[8, 8, 8]","[0, 0, 0]",40.0,2.9688958110733,18,260,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,30.41,MB,121.66,MB,0.7,10,     17.92s ,17.92,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.83e-09,16.6607,-4772.1775616917,1.2925407139035e-07,-0.00048667559301398,-1777.7831320595,1066.2280568735,-601.05084715116,-3459.571152679,10,0.0,Cr2_7
8,0.015,24,"[9, 9, 9]","[0, 0, 0]",40.0,2.9688958110733,18,365,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,35.84,MB,143.35,MB,0.9,10,     25.84s ,25.84,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.2e-08,16.6898,-4772.1682137652,9.52398420771e-07,-0.013690047013997,-1778.0946555964,1066.6184902932,-601.10720587194,-3459.571152679,10,0.0,Cr2_8
9,0.015,27,"[10, 10, 10]","[0, 0, 0]",40.0,2.9688958110733,18,504,"[32, 32, 32]","[24, 24, 24]",2,1,26.16896033023,43.01,MB,172.06,MB,1.1,8,     28.92s ,28.92,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.29e-08,16.6569,-4772.1737578124,3.945650600337e-06,0.00023850777594451,-1777.814966657,1066.2668936403,-601.05477076054,-3459.571152679,8,0.0,Cr2_9
