,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.015,1,"[1, 1, 1]","[0, 0, 0]",45.0,3.172046941451,14,1,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,36.88,MB,147.51,MB,0.2,5,      0.59s ,0.59,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.06e-07,4.1393,-3410.7590647403,1.2925407139035e-05,-0.02983496898599,-2835.8148113885,1352.3820020931,-451.96411132026,-1475.3323090196,5,0.0,Mg2_0
1,0.015,4,"[2, 2, 1]","[0, 0, 0]",45.0,3.172046941451,14,2,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,37.04,MB,148.17,MB,0.2,5,      0.63s ,0.63,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.02e-08,4.0606,-3404.3578188967,5.986504359132e-06,0.0059606535448539,-2831.2854191972,1353.9857743658,-451.73182569925,-1475.3323090196,5,0.0,Mg2_1
2,0.015,6,"[2, 2, 2]","[0, 0, 0]",45.0,3.172046941451,14,4,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,37.21,MB,148.82,MB,0.2,6,      0.82s ,0.82,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.33e-09,4.5677,-3403.4556401725,1.36056917253e-07,-0.008481243993883,-2830.2839661351,1353.9497210515,-451.78060482523,-1475.3323090196,6,0.0,Mg2_2
3,0.015,7,"[3, 3, 2]","[0, 0, 0]",45.0,3.172046941451,14,6,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,37.37,MB,149.48,MB,0.2,6,      0.97s ,0.97,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.2e-08,5.9318,-3403.9039837699,2.449024510554e-06,-0.02522277554803,-2830.9477841609,1354.1179570623,-451.71662474017,-1475.3323090196,6,0.0,Mg2_3
4,0.015,10,"[4, 4, 2]","[0, 0, 0]",45.0,3.172046941451,14,8,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,37.53,MB,150.14,MB,0.2,6,      1.13s ,1.13,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.54e-09,5.2316,-3404.6241728976,6.80284586265e-07,0.002630796552004,-2831.700706542,1354.1010245069,-451.69481263943,-1475.3323090196,6,0.0,Mg2_4
5,0.015,11,"[4, 4, 3]","[0, 0, 0]",45.0,3.172046941451,14,8,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,37.53,MB,150.14,MB,0.2,6,      1.08s ,1.08,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.51e-09,5.6239,-3404.7130447318,1.36056917253e-07,-0.0046376360814858,-2832.2411748224,1354.5677322507,-451.70265536831,-1475.3323090196,6,0.0,Mg2_5
6,0.015,13,"[5, 5, 3]","[0, 0, 0]",45.0,3.172046941451,14,10,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,37.7,MB,150.8,MB,0.2,6,      1.24s ,1.24,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.39e-09,5.4818,-3404.6724475246,4.08170751759e-08,0.0017364944349,-2832.2612300201,1354.6251553447,-451.70580032395,-1475.3323090196,6,0.0,Mg2_6
7,0.015,16,"[6, 6, 4]","[0, 0, 0]",45.0,3.172046941451,14,21,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,38.6,MB,154.42,MB,0.3,6,      1.98s ,1.98,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.42e-09,5.4138,-3404.5388524212,2.993252179566e-08,0.0057818747555835,-2831.8986196959,1354.3847064447,-451.69841202517,-1475.3323090196,6,0.0,Mg2_7
8,0.015,20,"[7, 7, 4]","[0, 0, 0]",45.0,3.172046941451,14,24,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,38.85,MB,155.4,MB,0.3,6,      2.23s ,2.23,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.57e-09,5.5846,-3404.6271817964,7.891301200674e-08,-0.0025631762641293,-2832.1100081989,1354.5090157996,-451.69131706511,-1475.3323090196,6,0.0,Mg2_8
9,0.015,21,"[7, 7, 5]","[0, 0, 0]",45.0,3.172046941451,14,24,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,38.85,MB,155.4,MB,0.3,6,      2.18s ,2.18,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.58e-09,5.7368,-3404.610019985,1.088455338024e-07,-0.013050715559825,-2832.0475797069,1354.4808016766,-451.69788208348,-1475.3323090196,6,0.0,Mg2_9
10,0.015,23,"[8, 8, 5]","[0, 0, 0]",45.0,3.172046941451,14,30,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,39.34,MB,157.38,MB,0.3,6,      2.57s ,2.57,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.22e-09,5.5997,-3404.6359883524,1.2109065635517e-07,-0.0027607309079806,-2832.0953756856,1354.4969109517,-451.70245386801,-1475.3323090196,6,0.0,Mg2_10
11,0.015,26,"[9, 9, 6]","[0, 0, 0]",45.0,3.172046941451,14,48,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,40.82,MB,163.3,MB,0.4,6,      3.76s ,3.76,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.03e-09,5.4294,-3404.5955089705,1.224512255277e-08,0.0015329532866896,-2832.0032285533,1354.4383607622,-451.69986497699,-1475.3323090196,6,0.0,Mg2_11
12,0.015,29,"[10, 10, 6]","[0, 0, 0]",45.0,3.172046941451,14,56,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,41.48,MB,165.93,MB,0.4,6,      4.44s ,4.44,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.3e-09,5.6687,-3404.6064393751,4.08170751759e-07,-0.0075665333391911,-2832.0465402321,1354.4785112945,-451.69853474851,-1475.3323090196,6,0.0,Mg2_12
13,0.015,31,"[10, 10, 7]","[0, 0, 0]",45.0,3.172046941451,14,56,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,41.48,MB,165.93,MB,0.4,6,      4.49s ,4.49,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.72e-09,5.6652,-3404.6022967141,4.08170751759e-07,-0.0076025884222631,-2832.0185906038,1354.4562356478,-451.70003015009,-1475.3323090196,6,0.0,Mg2_13
14,0.015,32,"[11, 11, 7]","[0, 0, 0]",45.0,3.172046941451,14,64,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,42.14,MB,168.56,MB,0.4,6,      4.89s ,4.89,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.49e-09,5.5419,-3404.6176421656,5.44227669012e-07,-8.0681751931029e-05,-2832.0165285251,1354.4340849014,-451.70280870445,-1475.3323090196,6,0.0,Mg2_14
15,0.015,35,"[12, 12, 7]","[0, 0, 0]",45.0,3.172046941451,14,76,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,43.13,MB,172.51,MB,0.4,6,      6.02s ,6.02,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.37e-09,5.513,-3404.6087599619,4.08170751759e-07,0.0010322638311985,-2831.9869553297,1354.412108716,-451.7026364564,-1475.3323090196,6,0.0,Mg2_15
16,0.015,36,"[12, 12, 8]","[0, 0, 0]",45.0,3.172046941451,14,95,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,44.69,MB,178.76,MB,0.5,6,      6.99s ,6.99,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.74e-09,5.5044,-3404.6050247913,2.72113834506e-07,0.001588600565846,-2831.9797935657,1354.4075184278,-451.70202923438,-1475.3323090196,6,0.0,Mg2_16
17,0.015,39,"[13, 13, 8]","[0, 0, 0]",45.0,3.172046941451,14,105,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,45.51,MB,182.05,MB,0.5,6,      7.58s ,7.58,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.38e-09,5.6398,-3404.6013051313,4.08170751759e-07,-0.0089596201149446,-2831.9946561512,1354.4350745794,-451.70045478373,-1475.3323090196,6,0.0,Mg2_17
18,0.015,42,"[14, 14, 9]","[0, 0, 0]",45.0,3.172046941451,14,120,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,46.75,MB,186.98,MB,0.5,6,      8.60s ,8.6,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.16e-09,5.577,-3404.6113549755,7.211016614409e-08,-0.0019362259894274,-2832.0047610984,1354.4275632852,-451.69991191663,-1475.3323090196,6,0.0,Mg2_18
19,0.015,45,"[15, 15, 9]","[0, 0, 0]",45.0,3.172046941451,14,135,"[40, 40, 60]","[25, 25, 48]",2,1,44.798993926228,47.98,MB,191.92,MB,0.6,6,      9.92s ,9.92,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.75e-09,5.5399,-3404.6091056825,2.72113834506e-07,0.00083212410591935,-2831.9948649985,1354.4188624453,-451.70162623379,-1475.3323090196,6,0.0,Mg2_19
