,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,energy_one_center_paw_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,energy_one_center_paw,scf_iterations,total_force,label
0,0.005,1,"[1, 1, 1]","[0, 0, 0]",100.0,3.6887884856392,13,1,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,65.07,MB,260.27,MB,0.3,4,      1.16s ,1.16,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.11e-07,0.8314,-2955.2707331344,8.16341503518e-07,0.0,-2413.0822179861,1247.5219413902,-390.52062857396,-1011.2844345687,-387.90539325975,4,0.0,Na2_0
1,0.005,4,"[2, 2, 1]","[0, 0, 0]",100.0,3.6887884856392,13,2,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,65.9,MB,263.6,MB,0.3,4,      1.37s ,1.37,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.46e-07,1.9373,-2949.9768979424,7.755244283421e-06,-0.0050799571194753,-2405.7284848765,1245.365786469,-390.62964839667,-1011.2844345687,-387.69503661238,4,0.0,Na2_1
2,0.005,7,"[2, 2, 2]","[0, 0, 0]",100.0,3.6887884856392,13,4,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,66.74,MB,266.94,MB,0.3,4,      1.96s ,1.96,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.71e-07,2.0177,-2950.3409553681,3.401422931325e-06,-0.0013284597400583,-2406.7529236662,1245.9841842058,-390.54976012868,-1011.2844345687,-387.73669261451,4,0.0,Na2_2
3,0.005,8,"[3, 3, 2]","[0, 0, 0]",100.0,3.6887884856392,13,6,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,67.57,MB,270.28,MB,0.4,4,      2.43s ,2.43,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.19e-07,0.9247,-2951.4381752206,1.224512255277e-06,-0.0079317101050981,-2408.9617090765,1247.1526484943,-390.51457540171,-1011.2844345687,-387.82217309391,4,0.0,Na2_3
4,0.005,12,"[4, 4, 2]","[0, 0, 0]",100.0,3.6887884856392,13,8,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,68.41,MB,273.62,MB,0.4,4,      2.85s ,2.85,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.34e-07,1.9426,-2951.2937981507,1.36056917253e-06,-0.0045774989240599,-2408.5310155988,1246.8472258856,-390.51694197573,-1011.2844345687,-387.80405439424,4,0.0,Na2_4
5,0.005,13,"[4, 4, 3]","[0, 0, 0]",100.0,3.6887884856392,13,8,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,68.41,MB,273.62,MB,0.4,4,      3.15s ,3.15,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.21e-07,1.4881,-2951.3273262487,1.224512255277e-06,-0.0050278473201674,-2408.8245675135,1247.1191374035,-390.51331469831,-1011.2844345687,-387.81911902429,4,0.0,Na2_5
6,0.005,15,"[5, 5, 3]","[0, 0, 0]",100.0,3.6887884856392,13,10,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,69.24,MB,276.96,MB,0.4,4,      3.32s ,3.32,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.2e-07,1.7367,-2951.446614423,1.224512255277e-06,-0.0036508152606497,-2408.9529150377,1247.1285480523,-390.51225821635,-1011.2844345687,-387.82190397333,4,0.0,Na2_6
7,0.005,19,"[6, 6, 4]","[0, 0, 0]",100.0,3.6887884856392,13,21,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,73.83,MB,295.32,MB,0.5,4,      5.94s ,5.94,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.21e-07,1.4454,-2951.3801801433,1.224512255277e-06,0.0010273657821774,-2408.8844165024,1247.1209378447,-390.51313551135,-1011.2844345687,-387.82015877125,4,0.0,Na2_7
8,0.005,23,"[7, 7, 4]","[0, 0, 0]",100.0,3.6887884856392,13,24,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,75.08,MB,300.33,MB,0.5,4,      6.22s ,6.22,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.21e-07,1.3966,-2951.3986691899,1.224512255277e-06,0.00058001063824954,-2408.903252086,1247.1220618109,-390.51286761528,-1011.2844345687,-387.82075674141,4,0.0,Na2_8
9,0.005,26,"[8, 8, 5]","[0, 0, 0]",100.0,3.6887884856392,13,30,"[64, 64, 108]","[45, 45, 80]",2,1,73.876390368855,77.59,MB,310.35,MB,0.6,4,      7.93s ,7.93,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.21e-07,1.4654,-2951.379412102,1.224512255277e-06,-0.00072667999504827,-2408.8757455951,1247.1141699655,-390.51273550402,-1011.2844345687,-387.81993985567,4,0.0,Na2_9
