,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,energy_one_center_paw_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,energy_one_center_paw,scf_iterations,total_force,label
0,0.015,1,"[1, 1, 1]","[0, 0, 0]",90.0,3.2912176488255,15,1,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,103.37,MB,413.5,MB,0.4,38,      9.53s ,9.53,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.14e-11,9.4177,-4225.0225595323,6.666788945397e-09,-0.028317254074032,-993.17439111134,550.51756260921,-467.18596574959,-1720.6931248086,-1594.4583232179,38.0,0.0,Sc2_0
1,0.015,4,"[2, 2, 1]","[0, 0, 0]",90.0,3.2912176488255,15,2,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,103.93,MB,415.72,MB,0.4,9,      4.81s ,4.81,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.05e-10,8.7186,-4221.910290612,8.299471952433e-08,-0.015069936268777,-1014.681035915,578.02204218392,-471.17793937643,-1720.6931248086,-1593.3651627596,9.0,0.0,Sc2_1
2,0.015,6,"[2, 2, 2]","[0, 0, 0]",90.0,3.2912176488255,15,4,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,104.49,MB,417.95,MB,0.5,20,      9.55s ,9.55,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.08e-11,9.018,-4221.8140284382,1.3469634808047e-07,-0.025330396569577,-1013.4020091905,576.71274742123,-470.96220861689,-1720.6931248086,-1593.444102983,20.0,0.0,Sc2_2
3,0.015,7,"[3, 3, 2]","[0, 0, 0]",90.0,3.2912176488255,15,6,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,105.04,MB,420.17,MB,0.5,12,     11.89s ,11.89,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.95e-11,9.099,-4221.0856082752,8.027358117927e-08,-0.043954683744671,-1012.0808084951,576.27730773394,-471.02117527665,-1720.6931248086,-1593.523852745,12.0,0.0,Sc2_3
4,0.015,10,"[4, 4, 2]","[0, 0, 0]",90.0,3.2912176488255,15,8,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,105.6,MB,422.4,MB,0.4,19,     15.97s ,15.97,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.38e-10,9.044,-4221.2694270209,3.265366014072e-08,-0.0038832004753179,-1010.2121498674,573.90318609381,-470.65795718613,-1720.6931248086,-1593.605498052,19.0,0.0,Sc2_4
5,0.015,11,"[4, 4, 3]","[0, 0, 0]",90.0,3.2912176488255,15,8,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,105.6,MB,422.4,MB,0.5,26,     21.19s ,21.19,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.78e-11,8.9425,-4221.2258557455,8.027358117927e-08,-0.016637039841697,-1010.2667647467,574.03058339646,-470.67796177073,-1720.6931248086,-1593.6019509121,26.0,0.0,Sc2_5
6,0.015,14,"[5, 5, 3]","[0, 0, 0]",90.0,3.2912176488255,15,10,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,106.16,MB,424.63,MB,0.4,15,     16.46s ,16.46,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.23e-10,8.9871,-4221.1952859331,5.306219772867e-08,-0.033522519614298,-1010.7288719979,574.60512250578,-470.75751887618,-1720.6931248086,-1593.5873701005,15.0,0.0,Sc2_6
7,0.015,16,"[5, 5, 4]","[0, 0, 0]",90.0,3.2912176488255,15,15,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,107.55,MB,430.19,MB,0.5,21,     27.50s ,27.5,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.88e-10,8.9888,-4221.2229053513,2.72113834506e-08,-0.0095590868923613,-1010.931248635,574.76881312715,-470.77919219887,-1720.6931248086,-1593.578593749,21.0,0.0,Sc2_7
8,0.015,17,"[6, 6, 4]","[0, 0, 0]",90.0,3.2912176488255,15,21,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,109.22,MB,436.87,MB,0.6,21,     38.82s ,38.82,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.06e-11,8.9852,-4221.2406166965,1.224512255277e-07,0.0042770852507653,-1011.066544858,574.87954699491,-470.79252931424,-1720.6931248086,-1593.5722419319,21.0,0.0,Sc2_8
9,0.015,20,"[7, 7, 4]","[0, 0, 0]",90.0,3.2912176488255,15,24,"[54, 54, 90]","[40, 40, 64]",2,1,50.024475793763,110.05,MB,440.21,MB,0.7,19,     36.23s ,36.23,eV,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.73e-11,8.9841,-4221.2365677787,8.707642704192e-08,-0.0023687509293747,-1011.0565344703,574.88213887918,-470.79416050062,-1720.6931248086,-1593.5725182634,19.0,0.0,Sc2_9
