,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.015,1,"[1, 1, 1]","[0, 0, 0]",40.0,4.5673814050611,22,1,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.21,MB,128.83,MB,0.2,13,      0.96s ,0.96,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.33e-08,13.1234,-4863.0978853588,1.3333577890794e-05,-0.027268255242012,-1625.5446898502,978.7434305079,-730.15774196453,-3486.1116156606,13,0.0,Ti3_0
1,0.015,3,"[1, 1, 2]","[0, 0, 0]",40.0,4.5673814050611,22,2,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.45,MB,129.81,MB,0.2,11,      1.08s ,1.08,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.33e-09,13.022,-4864.9905637468,9.387927290457e-06,-0.0043853865568987,-1627.0015071827,977.59138080618,-729.46443632311,-3486.1116156606,11,0.0,Ti3_1
2,0.015,5,"[2, 2, 2]","[0, 0, 0]",40.0,4.5673814050611,22,4,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.7,MB,130.8,MB,0.2,13,      1.65s ,1.65,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.37e-08,13.4134,-4863.520414061,3.809593683084e-06,0.016264107831506,-1632.6109634017,985.70407491107,-730.51817401756,-3486.1116156606,13,0.0,Ti3_2
3,0.015,6,"[2, 2, 3]","[0, 0, 0]",40.0,4.5673814050611,22,4,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.7,MB,130.8,MB,0.2,11,      1.39s ,1.39,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.13e-09,13.323,-4863.1614097892,1.3333577890794e-07,0.043494675307439,-1629.4530106503,982.48663481004,-730.12691309976,-3486.1116156606,11,0.0,Ti3_3
4,0.015,9,"[2, 2, 4]","[0, 0, 0]",40.0,4.5673814050611,22,6,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,32.95,MB,131.79,MB,0.3,10,      1.63s ,1.63,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.69e-08,13.343,-4863.0417054168,6.530732028144e-06,0.019723082838829,-1629.004665148,982.1388892482,-730.08403680314,-3486.1116156606,10,0.0,Ti3_4
5,0.015,10,"[3, 3, 4]","[0, 0, 0]",40.0,4.5673814050611,22,9,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,33.32,MB,133.27,MB,0.3,12,      2.56s ,2.56,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.6e-09,13.5052,-4863.2625153171,2.176910676048e-06,-0.015387493113645,-1628.0553847436,980.77874375691,-729.85887117667,-3486.1116156606,12,0.0,Ti3_5
6,0.015,12,"[3, 3, 5]","[0, 0, 0]",40.0,4.5673814050611,22,9,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,33.32,MB,133.27,MB,0.3,9,      2.03s ,2.03,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.52e-08,13.5395,-4863.2283858476,1.088455338024e-05,-0.025810133259811,-1627.539613787,980.23395049929,-729.78529690204,-3486.1116156606,9,0.0,Ti3_6
7,0.015,14,"[4, 4, 5]","[0, 0, 0]",40.0,4.5673814050611,22,12,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,33.69,MB,134.76,MB,0.3,8,      2.24s ,2.24,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.75e-09,13.4751,-4863.2116780582,3.809593683084e-06,0.011315309580263,-1627.5098477989,980.16927679608,-729.7708067043,-3486.1116156606,8,0.0,Ti3_7
8,0.015,15,"[4, 4, 6]","[0, 0, 0]",40.0,4.5673814050611,22,16,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,34.18,MB,136.73,MB,0.3,10,      3.13s ,3.13,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.12e-08,13.4407,-4863.1896323477,1.3197520973541e-07,0.013635352133261,-1627.4520799366,980.12986437251,-729.76943647508,-3486.1116156606,10,0.0,Ti3_8
9,0.015,17,"[4, 4, 7]","[0, 0, 0]",40.0,4.5673814050611,22,16,"[50, 50, 32]","[36, 36, 24]",3,1,51.059160709579,34.18,MB,136.73,MB,0.3,12,      3.68s ,3.68,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.77e-09,13.4697,-4863.1860077914,1.088455338024e-06,0.015724233983846,-1627.4594414322,980.13847813595,-729.76915293247,-3486.1116156606,12,0.0,Ti3_9
