,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.005,1,"[1, 1, 1]","[0, 0, 0]",40.0,2.5828081196861,11,1,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.3,MB,37.19,MB,0.2,5,      0.29s ,0.29,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.86e-06,17.9761,-1974.2939242481,1.2109065635517e-05,-0.066977146826886,-627.41462172203,404.9036965983,-266.96849836425,-1484.7475237493,5,0.0,V1_0
1,0.005,3,"[2, 2, 2]","[0, 0, 0]",40.0,2.5828081196861,11,4,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.36,MB,37.45,MB,0.2,5,      0.34s ,0.34,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.23e-08,18.4559,-1972.9734306405,4.898049021108e-06,-0.017112966938248,-619.76722689972,396.7869748005,-265.22854182503,-1484.7475237493,5,0.0,V1_1
2,0.005,6,"[3, 3, 3]","[0, 0, 0]",40.0,2.5828081196861,11,6,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.39,MB,37.58,MB,0.2,5,      0.35s ,0.35,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.94e-07,16.8456,-1972.6767642469,6.530732028144e-06,-0.0095007184748597,-614.80193433235,391.34620303594,-264.46400834658,-1484.7475237493,5,0.0,V1_2
3,0.005,8,"[4, 4, 4]","[0, 0, 0]",40.0,2.5828081196861,11,13,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.51,MB,38.02,MB,0.2,5,      0.43s ,0.43,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.83e-08,16.7123,-1972.6816263768,1.632683007036e-06,-0.0037709535185841,-615.74575096306,392.4444898468,-264.62907055774,-1484.7475237493,5,0.0,V1_3
4,0.005,11,"[5, 5, 5]","[0, 0, 0]",40.0,2.5828081196861,11,19,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.6,MB,38.41,MB,0.2,5,      0.52s ,0.52,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.89e-09,16.8455,-1972.5292860317,1.088455338024e-06,-0.0024703854465627,-615.59883289422,392.45723701938,-264.63769602206,-1484.7475237493,5,0.0,V1_4
5,0.005,13,"[6, 6, 6]","[0, 0, 0]",40.0,2.5828081196861,11,32,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,9.81,MB,39.24,MB,0.2,6,      0.81s ,0.81,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.55e-08,16.7169,-1972.5025560176,6.80284586265e-07,-0.0070809462015151,-615.68083630304,392.58772077319,-264.65483579221,-1484.7475237493,6,0.0,V1_5
6,0.005,16,"[7, 7, 7]","[0, 0, 0]",40.0,2.5828081196861,11,44,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,10.0,MB,40.0,MB,0.2,6,      0.92s ,0.92,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.6e-08,16.5214,-1972.5882975902,6.938902779903e-06,0.0067138646387665,-615.69105104822,392.47804583642,-264.63448262979,-1484.7475237493,6,0.0,V1_6
7,0.005,19,"[8, 8, 8]","[0, 0, 0]",40.0,2.5828081196861,11,65,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,10.33,MB,41.34,MB,0.2,5,      1.28s ,1.28,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.58e-07,16.7702,-1972.5937061248,5.170162855614e-06,3.9184392168864e-05,-616.6689508891,393.61828892703,-264.79555959779,-1484.7475237493,5,0.0,V1_7
8,0.005,21,"[9, 9, 9]","[0, 0, 0]",40.0,2.5828081196861,11,85,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,10.65,MB,42.6,MB,0.2,5,      1.49s ,1.49,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1e-06,16.86,-1972.5726159421,1.2789350221782e-05,-0.0029263121762775,-616.81039987804,393.81532805122,-264.82709391767,-1484.7475237493,5,0.0,V1_8
9,0.005,24,"[10, 10, 10]","[0, 0, 0]",40.0,2.5828081196861,11,116,"[27, 27, 27]","[20, 20, 20]",1,1,13.26377625441,11.15,MB,44.59,MB,0.2,5,      1.93s ,1.93,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.19e-08,16.7263,-1972.5769884032,6.530732028144e-06,0.00050939709819523,-615.56314135523,392.35321538358,-264.62004821538,-1484.7475237493,5,0.0,V1_9
