,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.005,1,"[1, 1, 1]","[0, 0, 0]",90.0,2.614347081318,24,1,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,60.84,MB,243.34,MB,0.3,8,      1.31s ,1.31,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.34e-08,10.7293,-12563.385619707,4.761992103855e-06,9.796098042216e-06,-9601.2544721714,4986.2355649737,-1133.2743153082,-6815.0924068615,8,0.0,Zn2_0
1,0.005,3,"[2, 2, 1]","[0, 0, 0]",90.0,2.614347081318,24,2,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,61.35,MB,245.39,MB,0.3,6,      1.32s ,1.32,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.25e-08,12.1406,-12549.548486322,7.619187366168e-06,-0.0124803649627,-9619.0872829249,5020.4808938998,-1135.8372100705,-6815.0924068615,6,0.0,Zn2_1
2,0.005,5,"[2, 2, 2]","[0, 0, 0]",90.0,2.614347081318,24,4,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,61.86,MB,247.45,MB,0.3,6,      1.71s ,1.71,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.31e-08,12.2816,-12549.151239036,2.72113834506e-06,-0.0040475572313595,-9612.9882622163,5014.2503747249,-1135.3168972619,-6815.0924068615,6,0.0,Zn2_2
3,0.005,6,"[3, 3, 2]","[0, 0, 0]",90.0,2.614347081318,24,6,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.38,MB,249.5,MB,0.4,5,      1.87s ,1.87,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.9e-07,14.5354,-12550.270806509,1.1428781049252e-05,0.00098042614572512,-9622.6034932677,5023.177334649,-1135.7532214552,-6815.0924068615,5,0.0,Zn2_3
4,0.005,8,"[4, 4, 2]","[0, 0, 0]",90.0,2.614347081318,24,8,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.89,MB,251.56,MB,0.4,6,      2.47s ,2.47,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.48e-08,13.016,-12551.385073341,1.36056917253e-06,-0.0010907683056173,-9620.3307898142,5019.6734546004,-1135.6342403614,-6815.0924068615,6,0.0,Zn2_4
5,0.005,10,"[4, 4, 3]","[0, 0, 0]",90.0,2.614347081318,24,8,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.89,MB,251.56,MB,0.4,6,      2.51s ,2.51,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.14e-08,13.0137,-12551.410317069,1.904796841542e-06,-0.00072722422271728,-9621.0101845883,5020.3790460454,-1135.6860444408,-6815.0924068615,6,0.0,Zn2_5
6,0.005,11,"[5, 5, 3]","[0, 0, 0]",90.0,2.614347081318,24,10,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,63.4,MB,253.61,MB,0.4,6,      2.89s ,2.89,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.73e-08,13.8746,-12551.066385863,3.809593683084e-08,-0.00046545071392251,-9621.2132945721,5020.9535312761,-1135.7137503911,-6815.0924068615,6,0.0,Zn2_6
7,0.005,14,"[6, 6, 3]","[0, 0, 0]",90.0,2.614347081318,24,14,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,64.43,MB,257.72,MB,0.4,6,      3.66s ,3.66,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.5e-08,14.653,-12551.071247041,1.632683007036e-06,-0.00032259095080686,-9620.3517993152,5020.0339529131,-1135.6606710502,-6815.0924068615,6,0.0,Zn2_7
8,0.005,15,"[6, 6, 4]","[0, 0, 0]",90.0,2.614347081318,24,21,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,66.23,MB,264.91,MB,0.5,6,      4.98s ,4.98,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,9.35e-09,14.6018,-12551.020836865,5.714390524626e-06,-0.001393903117257,-9621.1992743149,5020.9947197867,-1135.7224817077,-6815.0924068615,6,0.0,Zn2_8
9,0.005,16,"[7, 7, 4]","[0, 0, 0]",90.0,2.614347081318,24,24,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,67.0,MB,267.99,MB,0.5,6,      5.66s ,5.66,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,4.54e-08,14.417,-12551.153448412,2.72113834506e-07,0.0001042195986158,-9620.71799161,5020.3180012522,-1135.6611554129,-6815.0924068615,6,0.0,Zn2_9
