,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.005,1,"[1, 1, 1]","[0, 0, 0]",90.0,2.614347081318,24,1,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,60.84,MB,243.34,MB,0.3,8,      1.57s ,1.57,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.06e-10,10.7291,-12563.385642837,3.809593683084e-08,9.660041124963e-06,-9601.4225089949,4986.4235250198,-1133.2942616604,-6815.0924068615,8.0,0.0,Zn2_0
1,0.005,3,"[2, 2, 1]","[0, 0, 0]",90.0,2.614347081318,24,2,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,61.35,MB,245.39,MB,0.3,7,      1.95s ,1.95,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.82e-11,12.1398,-12549.548490948,4.353821352096e-09,-0.0124803649627,-9619.3296968949,5020.7512055244,-1135.865112351,-6815.0924068615,7.0,0.0,Zn2_1
2,0.005,5,"[2, 2, 2]","[0, 0, 0]",90.0,2.614347081318,24,4,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,61.86,MB,247.45,MB,0.4,7,      2.78s ,2.78,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.67e-10,12.2814,-12549.151240669,2.585081427807e-09,-0.0040538158495531,-9613.1313082413,5014.4099954757,-1135.3334673618,-6815.0924068615,7.0,0.0,Zn2_2
3,0.005,6,"[3, 3, 2]","[0, 0, 0]",90.0,2.614347081318,24,6,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.38,MB,249.5,MB,0.4,7,      4.02s ,4.02,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.07e-11,14.536,-12550.270810999,3.673536765831e-10,0.0010111750090243,-9622.3893455304,5022.9387378918,-1135.7288078102,-6815.0924068615,7.0,0.0,Zn2_3
4,0.005,8,"[4, 4, 2]","[0, 0, 0]",90.0,2.614347081318,24,8,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.89,MB,251.56,MB,0.4,7,      4.79s ,4.79,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.75e-11,13.0157,-12551.385074021,6.258618193638e-09,-0.0010907683056173,-9620.4309584542,5019.785110934,-1135.6457288714,-6815.0924068615,7.0,0.0,Zn2_4
5,0.005,10,"[4, 4, 3]","[0, 0, 0]",90.0,2.614347081318,24,8,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.89,MB,251.56,MB,0.4,7,      4.58s ,4.58,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.41e-11,13.0134,-12551.410318158,4.761992103855e-09,-0.00072722422271728,-9621.1303806704,5020.5130381628,-1135.6998415646,-6815.0924068615,7.0,0.0,Zn2_5
6,0.005,11,"[5, 5, 3]","[0, 0, 0]",90.0,2.614347081318,24,10,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,63.4,MB,253.61,MB,0.4,6,      4.92s ,4.92,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.6e-09,13.8746,-12551.066385999,1.1973008718264e-08,-0.00046545071392251,-9621.1861595166,5020.9231986109,-1135.7105527815,-6815.0924068615,6.0,0.0,Zn2_6
7,0.005,14,"[6, 6, 3]","[0, 0, 0]",90.0,2.614347081318,24,14,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,64.43,MB,257.72,MB,0.4,7,      7.22s ,7.22,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.2e-10,14.6528,-12551.071247993,1.768739924289e-08,-0.00032272700772412,-9620.466824146,5020.1621650606,-1135.6738593193,-6815.0924068615,7.0,0.0,Zn2_7
8,0.005,15,"[6, 6, 4]","[0, 0, 0]",90.0,2.614347081318,24,21,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,66.23,MB,264.91,MB,0.4,6,      9.10s ,9.1,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.32e-09,14.6022,-12551.020840674,7.211016614409e-09,-0.0013985290524436,-9620.9903526599,5020.7618655838,-1135.6985482075,-6815.0924068615,6.0,0.0,Zn2_8
9,0.005,16,"[7, 7, 4]","[0, 0, 0]",90.0,2.614347081318,24,24,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,67.0,MB,267.99,MB,0.5,6,     10.28s ,10.28,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.21e-09,14.4171,-12551.153448685,4.489878269349e-09,0.0001042195986158,-9620.6606219863,5020.2539366758,-1135.6544607322,-6815.0924068615,6.0,0.0,Zn2_9
