,degauss,k_density,k_list,k_offset,cutoff_wfc,lattice_parameter_initial,number_of_bands,number_of_k_points,fft_grid,smooth_fft_grid,number_of_atoms,number_of_species,volume,estimated_ram_per_process,estimated_ram_per_process_units,estimated_ram_total,estimated_ram_total_units,init_wall_time_seconds,total_number_of_scf_iterations,wall_time,wall_time_seconds,fermi_energy_units,energy_units,energy_accuracy_units,energy_smearing_units,energy_one_electron_units,energy_hartree_units,energy_xc_units,energy_ewald_units,forces_units,total_force_units,stress_units,energy_threshold,fermi_energy,energy,energy_accuracy,energy_smearing,energy_one_electron,energy_hartree,energy_xc,energy_ewald,scf_iterations,total_force,label
0,0.0045,1,"[1, 1, 1]","[0, 0, 0]",90.0,2.614347081318,24,1,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,60.84,MB,243.34,MB,0.3,8,      1.73s ,1.73,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.21e-10,10.6891,-12563.39504437,9.52398420771e-09,-0.029531562060515,-9603.2791748856,4988.4165434794,-1133.4104745402,-6815.0924068615,8.0,0.0,Zn2_0
1,0.0045,3,"[2, 2, 1]","[0, 0, 0]",90.0,2.614347081318,24,2,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,61.35,MB,245.39,MB,0.3,7,      1.95s ,1.95,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,2.82e-11,12.1576,-12549.594467165,4.353821352096e-09,-0.058457534782338,-9619.329699616,5020.7512091979,-1135.865112351,-6815.0924068615,7.0,0.0,Zn2_1
2,0.0045,5,"[2, 2, 2]","[0, 0, 0]",90.0,2.614347081318,24,4,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,61.86,MB,247.45,MB,0.3,7,      2.78s ,2.78,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.32e-11,12.3422,-12549.188971973,9.932154959469e-09,-0.04375712910082,-9612.9285665636,5014.1919268502,-1135.316168269,-6815.0924068615,7.0,0.0,Zn2_2
3,0.0045,6,"[3, 3, 2]","[0, 0, 0]",90.0,2.614347081318,24,6,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.38,MB,249.5,MB,0.3,7,      3.80s ,3.8,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,6.61e-10,14.5342,-12550.292609086,3.129309096819e-08,-0.039533514218535,-9621.6917643003,5022.2265710881,-1135.6954753621,-6815.0924068615,7.0,0.0,Zn2_3
4,0.0045,8,"[4, 4, 2]","[0, 0, 0]",90.0,2.614347081318,24,8,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.89,MB,251.56,MB,0.4,7,      4.60s ,4.6,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,5.7e-11,13.0736,-12551.394328477,6.258618193638e-09,-0.010349305467767,-9620.4308847113,5019.7850401844,-1135.645727783,-6815.0924068615,7.0,0.0,Zn2_4
5,0.0045,10,"[4, 4, 3]","[0, 0, 0]",90.0,2.614347081318,24,8,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,62.89,MB,251.56,MB,0.4,7,      4.45s ,4.45,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.19e-11,13.0736,-12551.416566436,4.898049021108e-09,-0.0073125150746797,-9621.1214222748,5020.5041057541,-1135.6995306745,-6815.0924068615,7.0,0.0,Zn2_5
6,0.0045,11,"[5, 5, 3]","[0, 0, 0]",90.0,2.614347081318,24,10,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,63.4,MB,253.61,MB,0.4,6,      5.21s ,5.21,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,7.65e-09,13.9312,-12551.070367569,1.1836951801011e-08,-0.0046900179946282,-9621.1829881659,5020.9201064454,-1135.710389105,-6815.0924068615,6.0,0.0,Zn2_6
7,0.0045,14,"[6, 6, 3]","[0, 0, 0]",90.0,2.614347081318,24,14,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,64.43,MB,257.72,MB,0.4,7,      7.33s ,7.33,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,1.21e-10,14.6743,-12551.074951326,2.312967593301e-08,-0.0074711574401967,-9620.5147548211,5020.2143684671,-1135.6746869536,-6815.0924068615,7.0,0.0,Zn2_7
8,0.0045,15,"[6, 6, 4]","[0, 0, 0]",90.0,2.614347081318,24,21,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,66.23,MB,264.91,MB,0.5,7,     10.24s ,10.24,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,3.66e-11,14.5908,-12551.02841918,1.632683007036e-09,-0.012692613753615,-9620.8340729227,5020.5981678875,-1135.6874145339,-6815.0924068615,7.0,0.0,Zn2_8
9,0.0045,16,"[7, 7, 4]","[0, 0, 0]",90.0,2.614347081318,24,24,"[45, 45, 80]","[30, 30, 60]",2,1,28.84510209197,67.0,MB,267.99,MB,0.5,6,     10.85s ,10.85,eV,eV,eV,eV,eV,eV,eV,eV,ev / angstrom,ev / angstrom,GPascal,8.26e-09,14.4824,-12551.156192544,4.761992103855e-09,-0.0037374835169399,-9620.6559439413,5020.2518594949,-1135.655963753,-6815.0924068615,6.0,0.0,Zn2_9
