,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,formula,target
0,0,0,0,0,0,0,0,0,0,0,0,YC,70
1,1,1,1,1,1,1,1,1,1,1,1,Cu2HgGeTe4,40
2,2,2,2,2,2,2,2,2,2,2,2,BeFe2Te,60
3,3,3,3,3,3,3,3,3,3,3,3,ScTaFe2,50
4,4,4,4,4,4,4,4,4,4,4,4,Tb2B4C,70
5,5,5,5,5,5,5,5,5,5,5,5,WS8Cl6,30
6,6,6,6,6,6,6,6,6,6,6,6,Ba4YTc,50
7,7,7,7,7,7,7,7,7,7,7,7,AcMo,60
8,8,8,8,8,8,8,8,8,8,8,8,Ta2VOs,75
9,9,9,9,9,9,9,9,9,9,9,9,BiClF8,25
10,10,10,10,10,10,10,10,10,10,10,10,BaMgSb,55
11,11,11,11,11,11,11,11,11,11,11,11,TlAgO2,40
12,12,12,12,12,12,12,12,12,12,12,12,SrAgBi,55
13,13,13,13,13,13,13,13,13,13,13,13,Sr3Ti3N5,25
14,14,14,14,14,14,14,14,14,14,14,14,K3ClO,25
15,15,15,15,15,15,15,15,15,15,15,15,Y2Mg,65
16,16,16,16,16,16,16,16,16,16,16,16,SrBe2Pb,90
17,17,17,17,17,17,17,17,17,17,17,17,AcCdGa,40
18,18,18,18,18,18,18,18,18,18,18,18,Cr2CuTe4,30
19,19,19,19,19,19,19,19,19,19,19,19,LaMg4Cu,60
20,20,20,20,20,20,20,20,20,20,20,20,InSCl2,60
21,21,21,21,21,21,21,21,21,21,21,21,Co2OF3,40
22,22,22,22,22,22,22,22,22,22,22,22,CaZnPd,55
23,23,23,23,23,23,23,23,23,23,23,23,YbSn,90
24,24,24,24,24,24,24,24,24,24,24,24,Y2MgGe2,90
25,25,25,25,25,25,25,25,25,25,25,25,Rb2NaVF6,20
26,26,26,26,26,26,26,26,26,26,26,26,HoInGe2O7,25
27,27,27,27,27,27,27,27,27,27,27,27,SmFe2Si2,60
28,28,28,28,28,28,28,28,28,28,28,28,LiCa2Al,60
29,29,29,29,29,29,29,29,29,29,29,29,ZnI2,65
30,30,30,30,30,30,30,30,30,30,30,30,SmCd,70
31,31,31,31,31,31,31,31,31,31,31,31,Co3SbO8,30
32,32,32,32,32,32,32,32,32,32,32,32,TmInPd2,50
33,33,33,33,33,33,33,33,33,33,33,33,Er2NiRu,55
34,34,34,34,34,34,34,34,34,34,34,34,ThMn2Si2,35
35,35,35,35,35,35,35,35,35,35,35,35,UB12,55
36,36,36,36,36,36,36,36,36,36,36,36,TbTmIn2,40
37,37,37,37,37,37,37,37,37,37,37,37,ErGaCo,70
38,38,38,38,38,38,38,38,38,38,38,38,SrPtO3,60
39,39,39,39,39,39,39,39,39,39,39,39,CeP5,40
40,40,40,40,40,40,40,40,40,40,40,40,Sm3Sc,70
41,41,41,41,41,41,41,41,41,41,41,41,CaCuN,25
42,42,42,42,42,42,42,42,42,42,42,42,RbLaS2,20
43,43,43,43,43,43,43,43,43,43,43,43,MgBeGe,35
44,44,44,44,44,44,44,44,44,44,44,44,AgHgAsS3,25
45,45,45,45,45,45,45,45,45,45,45,45,TlNO3,25
46,46,46,46,46,46,46,46,46,46,46,46,MnSeO3,30
47,47,47,47,47,47,47,47,47,47,47,47,BePb2S,90
48,48,48,48,48,48,48,48,48,48,48,48,Rb3AsCl6,25
49,49,49,49,49,49,49,49,49,49,49,49,SiCl,50
50,50,50,50,50,50,50,50,50,50,50,50,YSn2BiO7,25
51,51,51,51,51,51,51,51,51,51,51,51,CoNiS4,60
52,52,52,52,52,52,52,52,52,52,52,52,Ce2O3,30
53,53,53,53,53,53,53,53,53,53,53,53,UFe2,45
54,54,54,54,54,54,54,54,54,54,54,54,Ca7Ge,55
55,55,55,55,55,55,55,55,55,55,55,55,KN,40
56,56,56,56,56,56,56,56,56,56,56,56,ZrZnNi2,60
57,57,57,57,57,57,57,57,57,57,57,57,BaH4Br2O2,25
58,58,58,58,58,58,58,58,58,58,58,58,SiSnO3,30
59,59,59,59,59,59,59,59,59,59,59,59,Li5Cl3O,25
60,60,60,60,60,60,60,60,60,60,60,60,Y3Si2Ni2,35
61,61,61,61,61,61,61,61,61,61,61,61,Zn2CuAs,85
62,62,62,62,62,62,62,62,62,62,62,62,HeAr3,20
63,63,63,63,63,63,63,63,63,63,63,63,Be2RhBr,35
64,64,64,64,64,64,64,64,64,64,64,64,Ga3SiCN3,30
65,65,65,65,65,65,65,65,65,65,65,65,AcPa3,65
66,66,66,66,66,66,66,66,66,66,66,66,K2CoH6,25
67,67,67,67,67,67,67,67,67,67,67,67,Sr2MgB2O6,25
68,68,68,68,68,68,68,68,68,68,68,68,NdFe10Si2,30
69,69,69,69,69,69,69,69,69,69,69,69,Nd2WO6,25
70,70,70,70,70,70,70,70,70,70,70,70,LiNbGeO5,25
71,71,71,71,71,71,71,71,71,71,71,71,CuPb3,70
72,72,72,72,72,72,72,72,72,72,72,72,SnPt3C,60
73,73,73,73,73,73,73,73,73,73,73,73,Tm3Hg,50
74,74,74,74,74,74,74,74,74,74,74,74,YbCeHg2,45
75,75,75,75,75,75,75,75,75,75,75,75,Co2P2O7,35
76,76,76,76,76,76,76,76,76,76,76,76,YbAsO4,25
77,77,77,77,77,77,77,77,77,77,77,77,Zn2CuSbO6,55
78,78,78,78,78,78,78,78,78,78,78,78,InPd5Se,60
79,79,79,79,79,79,79,79,79,79,79,79,Ca3Mn2Ga2O10,30
80,80,80,80,80,80,80,80,80,80,80,80,LuNi2,40
81,81,81,81,81,81,81,81,81,81,81,81,TiH12C7O4,20
82,82,82,82,82,82,82,82,82,82,82,82,SrSnF,45
83,83,83,83,83,83,83,83,83,83,83,83,Yb3Hg,50
84,84,84,84,84,84,84,84,84,84,84,84,TmNiSn4,35
85,85,85,85,85,85,85,85,85,85,85,85,Cr5NiAs3,30
86,86,86,86,86,86,86,86,86,86,86,86,BaYI2,45
87,87,87,87,87,87,87,87,87,87,87,87,KMnN,75
88,88,88,88,88,88,88,88,88,88,88,88,V2FeAgO7,25
89,89,89,89,89,89,89,89,89,89,89,89,Rb2NaInF6,20
90,90,90,90,90,90,90,90,90,90,90,90,Li2CrCoO4,30
91,91,91,91,91,91,91,91,91,91,91,91,NaLaTi2O6,25
92,92,92,92,92,92,92,92,92,92,92,92,PrAs,80
93,93,93,93,93,93,93,93,93,93,93,93,UAl4Co,45
94,94,94,94,94,94,94,94,94,94,94,94,NaErP4O12,25
95,95,95,95,95,95,95,95,95,95,95,95,MnCo21B6Mo,35
96,96,96,96,96,96,96,96,96,96,96,96,Ga7Pd3,50
97,97,97,97,97,97,97,97,97,97,97,97,HoSiRu,55
98,98,98,98,98,98,98,98,98,98,98,98,NiPtO2,35
99,99,99,99,99,99,99,99,99,99,99,99,Ho8Au,45
100,100,100,100,100,100,100,100,100,100,100,100,Ba2TmRuO6,25
101,101,101,101,101,101,101,101,101,101,101,101,NaTl2Pd,65
102,102,102,102,102,102,102,102,102,102,102,102,Li4CuF5,15
103,103,103,103,103,103,103,103,103,103,103,103,Ba6Mn5O16,35
104,104,104,104,104,104,104,104,104,104,104,104,HoMnO3,60
105,105,105,105,105,105,105,105,105,105,105,105,LuGe,55
106,106,106,106,106,106,106,106,106,106,106,106,PrCuSe2,35
107,107,107,107,107,107,107,107,107,107,107,107,CuH6BrN2,25
108,108,108,108,108,108,108,108,108,108,108,108,TbYRh2,65
