Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
AcH2,Fm-3m,-0.656843,None,0.12,0.3,3,2,-0.591536,None,Indirect,Indirect,None,H-12125
Ag2Te,Fm-3m,-0.027317,-0.160568,0.0,0.0,3,2,-0.027317,-0.160568,N.A.,Direct,-0.1129,H-11379
AgBr,Fm-3m,-0.575339,-0.555022,0.7,2.02,2,2,-0.320165,-0.502117,Indirect,Indirect,-0.5204,H-5149
AgC,F-43m,2.218916,2.654312,0.0,0.0,2,2,2.218916,2.654312,N.A.,N.A.,None,H-9525
AgCl,Fm-3m,-0.717743,-0.6264,0.94,2.4,2,2,-0.41748,-0.572266,Indirect,Indirect,-0.6585,H-7655
AgF,Fm-3m,-1.141304,-1.201592,0.15,1.48,2,2,-0.941097,-1.099089,Indirect,Indirect,-1.0516,H-3673
AgI,Pm-3m,-0.024311,-0.033448,0.4,0.97,2,2,0.121303,-0.028197,Indirect,Indirect,-0.3205,H-10219
AgI,Fm-3m,-0.325927,-0.36953,0.81,1.83,2,2,-0.180313,-0.364279,Indirect,Indirect,-0.3205,H-5232
AgI,F-43m,-0.421484,-0.418525,1.34,2.48,2,2,-0.275869,-0.413274,Direct,Direct,-0.3205,H-5764
AgN,Fm-3m,1.445034,2.02593,0.0,0.0,2,2,1.567344,1.953582,N.A.,N.A.,None,H-8776
AgO,F-43m,-0.097919,0.254438,0.0,0.06,2,2,0.189103,0.324791,N.A.,Indirect,None,H-10775
AgSe,F-43m,0.079527,0.161219,0.0,0.0,2,2,0.079527,0.161219,N.A.,N.A.,None,H-824
Ag,Cmcm,0.002153,0.002343,0.0,0.0,4,1,0.002153,0.002343,N.A.,N.A.,0.0,H-108
Ag,Fm-3m,0.0,0.0,0.03,0.39,1,1,0.0,0.0,Indirect,Indirect,0.0,H-183
Al2Au,Fm-3m,-0.436173,-0.458507,0.0,0.0,3,2,-0.436173,-0.458507,N.A.,N.A.,None,H-4938
Al2Cu,P4/mmm,-0.023903,-0.01806,0.0,0.0,3,2,-0.023903,-0.01806,N.A.,N.A.,None,H-5680
Al2O,Fm-3m,-0.101381,0.089755,0.0,0.0,3,2,0.089967,0.136657,N.A.,N.A.,None,H-4134
Al2Pd,Fm-3m,-0.608546,-0.721577,0.0,0.0,3,2,-0.608546,-0.721577,N.A.,N.A.,None,H-8532
Al2Pt,Fm-3m,-0.887802,-0.994711,0.0,0.02,3,2,-0.887802,-0.994711,N.A.,Direct,None,H-8947
AlAu2,I4/mmm,-0.318727,-0.327989,0.0,0.0,3,2,-0.318727,-0.327989,N.A.,N.A.,None,H-10887
AlAu,Pm-3m,-0.254447,-0.236421,0.0,0.0,2,2,-0.254447,-0.236421,N.A.,N.A.,None,H-12508
AlB2,P6/mmm,-0.042659,-0.046835,0.0,0.0,3,2,-0.042659,-0.046835,N.A.,N.A.,-0.409,H-5354
AlFe,Pm-3m,-0.330015,0.267559,0.0,0.0,2,2,-0.330015,0.267559,N.A.,N.A.,-0.2747,H-3999
